哎哟,āi yō,hey,meaning_vi
司令,sī lìng,commanding officer,sĩ quan chỉ huy
思念,sī niàn,to think of,nghĩ về
思索,sī suǒ,to think deeply,suy nghĩ sâu sắc
思维,sī wéi,(line of) thought,(dòng) suy nghĩ
思绪,sī xù,train of thought,chuyến tàu suy nghĩ
私自,sī zì,private,riêng tư
斯文,sī wén,refined,tinh tế
死亡,sǐ wáng,to die,chết
四肢,sì zhī,the four limbs of the body,bốn chi của cơ thể
肆无忌惮,sì wú jì dàn,absolutely unrestrained,hoàn toàn không bị kiềm chế
饲养,sì yǎng,to raise,nâng cao
耸,sǒng,to excite,kích thích
艘,sōu,classifier for ships,máy phân loại tàu
搜索,sōu suǒ,to search,tìm kiếm
苏醒,sū xǐng,to wake up,thức dậy
俗话,sú huà,common saying,câu nói thông thường
塑造,sù zào,to model,làm người mẫu
素食,sù shí,vegetables,rau
素质,sù zhì,inner quality,chất lượng bên trong
诉讼,sù sòng,lawsuit,vụ kiện
算了,suàn le,let it be,cứ để vậy đi
算数,suàn shù,to count numbers,để đếm số
随即,suí jí,immediately,ngay lập tức
随身,suí shēn,to (carry) on one's person,để (mang) trên người
随手,suí shǒu,conveniently,thuận tiện
随意,suí yì,as one wishes,như một người mong muốn
岁月,suì yuè,years,năm
隧道,suì dào,tunnel,đường hầm
损坏,sǔn huài,to damage,làm hư hỏng
索赔,suǒ péi,to ask for compensation,yêu cầu bồi thường
索性,suǒ xìng,you might as well (do it),bạn cũng có thể (làm điều đó)
塌,tā,collapse,sụp đổ
踏实,tā shi,practical,thực tế
台风,tái fēng,hurricane,cơn bão
太空,tài kōng,outer space,không gian bên ngoài
泰斗,tài dǒu,leading scholar of his time,học giả hàng đầu của thời đại ông
瘫痪,tān huàn,paralysis,sự tê liệt
贪婪,tān lán,avaricious,tham lam
贪污,tān wū,corruption,tham nhũng
摊儿,tān r,erhua variant of 攤|摊[tān],biến thể đàn nhị của 攤|摊[tān]
弹性,tán xìng,flexibility,tính linh hoạt
坦白,tǎn bái,honest,trung thực
探测,tàn cè,to probe,thăm dò
探索,tàn suǒ,to explore,khám phá
探讨,tàn tǎo,to investigate,để điều tra
探望,tàn wàng,to visit,đến thăm
叹气,tàn qì,to sigh,thở dài
糖葫芦,táng hú lu,sugar-coated Chinese hawthorn fruit on a stick,quả táo gai Trung Quốc bọc đường trên que
倘若,tǎng ruò,provided that,miễn là
掏,tāo,variant of 掏[tāo],biến thể của 掏[tāo]
滔滔不绝,tāo tāo bù jué,unceasing torrent (idiom),torrent không ngừng (thành ngữ)
陶瓷,táo cí,pottery and porcelain,đồ gốm và sứ
淘气,táo qì,naughty,nghịch ngợm
淘汰,táo tài,to wash out,rửa sạch
讨价还价,tǎo jià huán jià,to haggle over price,để mặc cả về giá
特长,tè cháng,personal strength,sức mạnh cá nhân
特定,tè dìng,special,đặc biệt
特色,tè sè,characteristic,đặc trưng
提拔,tí bá,to promote to a higher job,để thăng tiến lên công việc cao hơn
提炼,tí liàn,to extract (ore,khai thác (quặng
提示,tí shì,to prompt,nhắc nhở
提议,tí yì,proposal,đề xuất
题材,tí cái,subject matter,chủ đề
体谅,tǐ liàng,to empathize,để đồng cảm
体面,tǐ miàn,dignity,phẩm giá
体系,tǐ xì,system,hệ thống
天才,tiān cái,talent,tài năng
天伦之乐,tiān lún zhī lè,family love and joy,tình yêu và niềm vui gia đình
天然气,tiān rán qì,natural gas,khí tự nhiên
天生,tiān shēng,nature,thiên nhiên
天堂,tiān táng,paradise,thiên đường
天文,tiān wén,astronomy,thiên văn học
田径,tián jìng,track and field (athletics),điền kinh (điền kinh)
舔,tiǎn,to lick,liếm
挑剔,tiāo ti,picky,kén chọn
条款,tiáo kuǎn,clause (of contract or law),điều khoản (của hợp đồng hoặc luật)
条理,tiáo lǐ,arrangement,sắp xếp
条约,tiáo yuē,treaty,hiệp ước
调和,tiáo hé,harmonious,hài hòa
调剂,tiáo jì,to adjust,để điều chỉnh
调节,tiáo jié,to adjust,để điều chỉnh
调解,tiáo jiě,to mediate,làm trung gian
调料,tiáo liào,condiment,gia vị
挑拨,tiǎo bō,to incite disharmony,kích động bất hòa
挑衅,tiǎo xìn,to provoke,khiêu khích
跳跃,tiào yuè,to jump,nhảy
停泊,tíng bó,to anchor,neo
停顿,tíng dùn,to halt,dừng lại
停滞,tíng zhì,stagnation,sự trì trệ
亭子,tíng zi,pavilion,gian hàng
挺拔,tǐng bá,tall and straight,cao và thẳng
通货,tōng huò,currency,tiền tệ
通俗,tōng sú,common,chung
通用,tōng yòng,common (use),phổ biến (sử dụng)
铜矿,tóng kuàng,Copper,đồng
同胞,tóng bāo,born of the same parents,sinh ra cùng cha mẹ
同志,tóng zhì,comrade,đồng chí
童话,tóng huà,children's fairy tales,truyện cổ tích thiếu nhi
统筹兼顾,tǒng chóu jiān gù,an overall plan taking into account all factors,một kế hoạch tổng thể có tính đến tất cả các yếu tố
统计,tǒng jì,statistics,thống kê
统统,tǒng tǒng,totally,hoàn toàn
投机,tóu jī,to speculate (on financial markets),đầu cơ (trên thị trường tài chính)
投票,tóu piào,to vote,bỏ phiếu
投降,tóu xiáng,to surrender,đầu hàng
投掷,tóu zhì,to throw sth a long distance,ném cái gì đó đi một khoảng cách xa
秃,tū,bald,hói
突破,tū pò,to break through,để vượt qua
图案,tú àn,design,thiết kế
徒弟,tú dì,apprentice,người học việc
途径,tú jìng,way,đường
涂抹,tú mǒ,to paint,vẽ
土壤,tǔ rǎng,soil,đất
团结,tuán jié,a rally,một cuộc biểu tình
团体,tuán tǐ,group,nhóm
团圆,tuán yuán,to have a reunion,để có một cuộc hội ngộ
推测,tuī cè,speculation,suy đoán
推翻,tuī fān,to overthrow,lật đổ
推理,tuī lǐ,reasoning,lý luận
推论,tuī lùn,to infer,suy luận
推销,tuī xiāo,to market,để tiếp thị
吞咽,tūn yàn,to swallow,nuốt
脱离,tuō lí,to separate oneself from,để tách mình ra khỏi
拖延,tuō yán,to adjourn,hoãn lại
托运,tuō yùn,to consign (goods),gửi (hàng hóa)
妥当,tuǒ dang,appropriate,phù hợp
妥善,tuǒ shàn,appropriate,phù hợp
妥协,tuǒ xié,to compromise,thỏa hiệp
椭圆,tuǒ yuán,oval,hình bầu dục
唾沫,tuò mo,spittle,nước dãi
挖掘,wā jué,to excavate,khai quật
娃娃,wá wa,baby,Đứa bé
瓦解,wǎ jiě,to collapse,sụp đổ
哇,wa,"replaces 啊 when following the vowel ""u"" or ""ao""","thay thế 啊 khi theo sau nguyên âm ""u"" hoặc ""ao"""
歪曲,wāi qū,to distort,bóp méo
外表,wài biǎo,external,bên ngoài
外行,wài háng,layman,thường dân
外界,wài jiè,the outside world,thế giới bên ngoài
外向,wài xiàng,outward-looking,hướng ngoại
丸,wán,pill,viên thuốc
完备,wán bèi,faultless,không có lỗi
完毕,wán bì,to finish,để kết thúc
玩弄,wán nòng,to play with,để chơi với
玩意儿,wán yì r,erhua variant of 玩意[wán yì],biến thể đàn nhị của 玩意[wán yì]
顽固,wán gù,stubborn,bướng bỉnh
顽强,wán qiáng,tenacious,ngoan cường
挽回,wǎn huí,to retrieve,để lấy lại
挽救,wǎn jiù,to save,để tiết kiệm
惋惜,wǎn xī,to feel sorry for a person over sth that should have happened,cảm thấy tiếc cho một người vì điều gì đó đáng lẽ phải xảy ra
万分,wàn fēn,very much,rất nhiều
往常,wǎng cháng,habitually (in the past),theo thói quen (trong quá khứ)
往事,wǎng shì,past events,sự kiện trong quá khứ
网络,wǎng luò,network (computing,mạng (máy tính
妄想,wàng xiǎng,to attempt vainly,cố gắng vô ích
微不足道,wēi bù zú dào,negligible,không đáng kể
微观,wēi guān,micro-,vi mô
威风,wēi fēng,might,có thể
威力,wēi lì,might,có thể
威望,wēi wàng,prestige,uy tín
威信,wēi xìn,prestige,uy tín
危机,wēi jī,crisis,khủng hoảng
违背,wéi bèi,to violate,vi phạm
维持,wéi chí,to keep,để giữ
维生素,wéi shēng sù,vitamin,vitamin
维修,wéi xiū,maintenance (of equipment),bảo trì (thiết bị)
唯独,wéi dú,only,chỉ một
为难,wéi nán,to feel embarrassed or awkward,cảm thấy xấu hổ hoặc khó xử
为期,wéi qī,(to be done) by (a certain date),(hoàn thành) trước (một ngày nhất định)
为首,wéi shǒu,head,cái đầu
委员,wěi yuán,committee member,thành viên ủy ban
伪造,wěi zào,to forge,rèn
胃口,wèi kǒu,appetite,thèm ăn
位于,wèi yú,to be located at,được đặt tại
未免,wèi miǎn,unavoidable,không thể tránh khỏi
畏惧,wèi jù,to fear,sợ hãi
卫星,wèi xīng,(space) satellite,(không gian) vệ tinh
慰问,wèi wèn,to express sympathy,để bày tỏ sự cảm thông
温带,wēn dài,temperate zone,vùng ôn đới
温和,wēn hé,mild,nhẹ
文凭,wén píng,diploma,bằng cấp
文物,wén wù,cultural relic,di tích văn hóa
文献,wén xiàn,document,tài liệu
文雅,wén yǎ,elegant,thanh lịch
文艺,wén yì,literature and art,văn học và nghệ thuật
问世,wèn shì,to be published,được xuất bản
窝,wō,nest,tổ
乌黑,wū hēi,jet-black,đen tuyền
污蔑,wū miè,to slander,vu khống
诬陷,wū xiàn,to entrap,để bẫy
无比,wú bǐ,incomparable,không thể so sánh được
无偿,wú cháng,free,miễn phí
无耻,wú chǐ,without any sense of shame,không hề có cảm giác xấu hổ
无从,wú cóng,not to have access,không có quyền truy cập
无动于衷,wú dòng yú zhōng,aloof,xa cách
无非,wú fēi,only,chỉ một
无精打采,wú jīng dǎ cǎi,dispirited and downcast (idiom); listless,chán nản và chán nản (thành ngữ); bơ phờ
无可奉告,wú kě fèng gào,"(idiom) ""no comment""","(thành ngữ) ""miễn bình luận"""
无可奈何,wú kě nài hé,have no way out,không có lối thoát
无赖,wú lài,hoodlum,du côn
无理取闹,wú lǐ qǔ nào,to make trouble without reason (idiom); to be deliberately provocative,gây rắc rối mà không có lý do (thành ngữ); cố tình khiêu khích
无能为力,wú néng wéi lì,impotent (idiom),bất lực (thành ngữ)
无穷无尽,wú qióng wú jìn,vast and limitless (idiom); endless span of time,rộng lớn và vô hạn (thành ngữ); khoảng thời gian vô tận
无微不至,wú wēi bù zhì,in every possible way (idiom); meticulous,bằng mọi cách có thể (thành ngữ); tỉ mỉ
无忧无虑,wú yōu wú lǜ,carefree and without worries (idiom),vô tư và không có lo lắng (thành ngữ)
无知,wú zhī,ignorant,ngu dốt
舞蹈,wǔ dǎo,dance,nhảy
武侠,wǔ xiá,martial arts chivalry (Chinese literary,hiệp sĩ võ thuật (văn học Trung Quốc
武装,wǔ zhuāng,arms,cánh tay
侮辱,wǔ rǔ,to insult,xúc phạm
勿,wù,do not,không
务必,wù bì,must,phải
务实,wù shí,pragmatic,thực dụng
误差,wù chā,difference,sự khác biệt
误解,wù jiě,to misunderstand,hiểu lầm
物美价廉,wù měi jià lián,good quality and cheap,chất lượng tốt và giá rẻ
物资,wù zī,goods,hàng hóa
溪,xī,variant of 溪,biến thể của 溪
膝盖,xī gài,knee,đầu gối
熄灭,xī miè,to stop burning,để ngừng cháy
吸取,xī qǔ,to absorb,hấp thụ
昔日,xī rì,formerly,trước đây
牺牲,xī shēng,to sacrifice oneself,hy sinh bản thân
夕阳,xī yáng,sunset,hoàng hôn
媳妇,xí fù,daughter-in-law,con dâu
习俗,xí sú,custom,phong tục
袭击,xí jī,attack (esp. surprise attack),tấn công (đặc biệt là tấn công bất ngờ)
喜闻乐见,xǐ wén lè jiàn,a delight to see (idiom); an attractive spectacle,một niềm vui để xem (thành ngữ); một cảnh tượng hấp dẫn
喜悦,xǐ yuè,happy,vui mừng
系列,xì liè,series,loạt
细胞,xì bāo,cell (biology),tế bào (sinh học)
细菌,xì jūn,bacterium,vi khuẩn
细致,xì zhì,delicate,thanh tú
霞,xiá,red clouds,mây đỏ
狭隘,xiá ài,narrow,chật hẹp
狭窄,xiá zhǎi,narrow,chật hẹp
峡谷,xiá gǔ,canyon,hẻm núi
夏令营,xià lìng yíng,summer camp,trại hè
下属,xià shǔ,subordinate,cấp dưới
先进,xiān jìn,advanced (technology),tiên tiến (công nghệ)
先前,xiān qián,before,trước
鲜明,xiān míng,bright,sáng
掀起,xiān qǐ,to lift,nâng
纤维,xiān wéi,fiber,chất xơ
弦,xián,bow string,dây cung
嫌,xián,to dislike,không thích
嫌疑,xián yí,suspicion,sự nghi ngờ
闲话,xián huà,digression,lạc đề
贤惠,xián huì,chaste,trong trắng
衔接,xián jiē,to join together,tham gia cùng nhau
显著,xiǎn zhù,outstanding,nổi bật
现场,xiàn chǎng,lit. actual location,thắp sáng. vị trí thực tế
现成,xiàn chéng,ready-made,làm sẵn
现状,xiàn zhuàng,current situation,tình hình hiện tại
宪法,xiàn fǎ,constitution (of a country),Hiến pháp (của một nước)
陷害,xiàn hài,to entrap,để bẫy
陷入,xiàn rù,to sink into,chìm vào
馅儿,xiàn r,erhua variant of 餡|馅,biến thể đàn nhị của 餡|馅
线索,xiàn suǒ,trail,dấu vết
相差,xiāng chà,to differ,khác biệt
相等,xiāng děng,equal,bình đẳng
相辅相成,xiāng fǔ xiāng chéng,to complement one another (idiom),để bổ sung cho nhau (thành ngữ)
相应,xiāng yìng,to correspond,tương ứng
镶嵌,xiāng qiàn,to inlay,khảm
乡镇,xiāng zhèn,village,làng bản
想方设法,xiǎng fāng shè fǎ,to think up every possible method (idiom); to devise ways and means,nghĩ ra mọi phương pháp có thể (thành ngữ); nghĩ ra cách thức và phương tiện
响亮,xiǎng liàng,loud and clear,to và rõ ràng
响应,xiǎng yìng,respond to,đáp lại
巷,xiàng,lane,làn đường
向导,xiàng dǎo,guide,hướng dẫn
向来,xiàng lái,always (previously),luôn luôn (trước đây)
向往,xiàng wǎng,to yearn for,khao khát
消除,xiāo chú,to eliminate,để loại bỏ
消毒,xiāo dú,to disinfect,để khử trùng
消防,xiāo fáng,fire-fighting,chữa cháy
消耗,xiāo hào,to use up,sử dụng hết
消极,xiāo jí,negative,tiêu cực
销毁,xiāo huǐ,to destroy (by melting or burning),phá hủy (bằng cách làm tan chảy hoặc đốt cháy)
小心翼翼,xiǎo xīn yì yì,cautious and solemn (idiom); very carefully,thận trọng và trang trọng (thành ngữ); rất cẩn thận
效益,xiào yì,benefit,lợi ích
肖像,xiào xiàng,portrait,chân dung
携带,xié dài,to carry (on one's person),mang theo (trên người)
协会,xié huì,an association,một hiệp hội
协商,xié shāng,to consult with,để tham khảo ý kiến ​​với
协议,xié yì,agreement,hiệp định
协助,xié zhù,to provide assistance,để cung cấp hỗ trợ
写作,xiě zuò,writing,viết
屑,xiè,bits,bit
谢绝,xiè jué,to refuse politely,từ chối một cách lịch sự
泄露,xiè lù,to leak (information),rò rỉ (thông tin)
泄气,xiè qì,to leak (gas),rò rỉ (khí)
新陈代谢,xīn chén dài xiè,metabolism (biology),trao đổi chất (sinh học)
新郎,xīn láng,bridegroom,chú rể
新娘,xīn niáng,bride,cô dâu
新颖,xīn yǐng,lit. new bud,thắp sáng. nụ mới
心得,xīn dé,knowledge gained,kiến thức thu được
心灵,xīn líng,bright,sáng
心态,xīn tài,attitude (of the heart),thái độ (của trái tim)
心疼,xīn téng,to love dearly,yêu thật lòng
心血,xīn xuè,heart's blood,máu của trái tim
心眼儿,xīn yǎn r,one's thoughts,suy nghĩ của một người
辛勤,xīn qín,hardworking,chăm chỉ
欣慰,xīn wèi,to be gratified,được hài lòng
欣欣向荣,xīn xīn xiàng róng,luxuriant growth (idiom); flourishing,tăng trưởng um tùm (thành ngữ); hưng thịnh
薪水,xīn shuǐ,salary,lương
信赖,xìn lài,to trust,tin tưởng
信念,xìn niàn,faith,sự tin tưởng
信仰,xìn yǎng,to believe in (a religion),tin vào (một tôn giáo)
信誉,xìn yù,prestige,uy tín
腥,xīng,fishy (smell),tanh (có mùi)
兴隆,xīng lóng,prosperous,thịnh vượng
兴旺,xīng wàng,prosperous,thịnh vượng
行政,xíng zhèng,administrative,hành chính
形态,xíng tài,shape,hình dạng
刑事,xíng shì,criminal,tội phạm
性感,xìng gǎn,sex appeal,hấp dẫn giới tính
性命,xìng mìng,life,mạng sống
性能,xìng néng,function,chức năng
性情,xìng qíng,nature,thiên nhiên
幸好,xìng hǎo,fortunately,may mắn thay
兴高采烈,xīng gāo cǎi liè,happy and excited (idiom); in high spirits,hạnh phúc và vui mừng (thành ngữ); với tinh thần cao độ
兴致勃勃,xìng zhì bó bó,to become exhilarated (idiom); in high spirits,trở nên phấn khởi (thành ngữ); với tinh thần cao độ
胸怀,xiōng huái,one's bosom (the seat of emotions),ngực của một người (chỗ của cảm xúc)
胸膛,xiōng táng,chest,ngực
凶恶,xiōng è,variant of 兇惡|凶恶,biến thể của 兇惡|凶恶
凶手,xiōng shǒu,murderer,kẻ giết người
雄厚,xióng hòu,robust,khỏe mạnh
修复,xiū fù,to restore,để khôi phục
修建,xiū jiàn,to build,xây dựng
修理,xiū lǐ,to repair,sửa chữa
羞耻,xiū chǐ,(a feeling of) shame,(cảm giác) xấu hổ
休养,xiū yǎng,to recuperate,để hồi phục
绣,xiù,to embroider,thêu
嗅觉,xiù jué,sense of smell,khứu giác
虚假,xū jiǎ,false,SAI
虚荣,xū róng,vanity,sự phù phiếm
虚伪,xū wěi,false,SAI
需求,xū qiú,requirement,yêu cầu
须知,xū zhī,prerequisites,điều kiện tiên quyết
许可,xǔ kě,to allow,cho phép
酗酒,xù jiǔ,heavy drinking,uống nhiều rượu
畜牧,xù mù,to raise animals,nuôi động vật
序言,xù yán,preface,lời nói đầu
宣誓,xuān shì,to swear an oath (of office),tuyên thệ (chức vụ)
宣扬,xuān yáng,to proclaim,tuyên bố
悬挂,xuán guà,to suspend,đình chỉ
悬念,xuán niàn,suspense in a movie,sự hồi hộp trong một bộ phim
悬崖峭壁,xuán yá qiào bì,sheer cliffs and precipitous rock faces (idiom),những vách đá dựng đứng và những mặt đá dựng đứng (thành ngữ)
旋律,xuán lǜ,melody,giai điệu
旋转,xuán zhuǎn,to rotate,xoay
选拔,xuǎn bá,to select the best,để lựa chọn tốt nhất
选手,xuǎn shǒu,athlete,vận động viên
削弱,xuē ruò,to weaken,làm suy yếu
学历,xué lì,educational background,nền giáo dục
学说,xué shuō,theory,lý thuyết
学位,xué wèi,academic degree,bằng cấp học thuật
雪上加霜,xuě shàng jiā shuāng,to add hail to snow (idiom); one disaster on top of another,thêm mưa đá vào tuyết (thành ngữ); thảm họa này chồng lên thảm họa khác
血压,xuè yā,blood pressure,huyết áp
熏陶,xūn táo,to seep in,thấm vào
循环,xún huán,to cycle,đạp xe
循序渐进,xún xù jiàn jìn,in sequence,theo trình tự
巡逻,xún luó,to patrol (police,tuần tra (cảnh sát
寻觅,xún mì,to look for,để tìm kiếm
押金,yā jīn,deposit,tiền gửi
压迫,yā pò,to oppress,đàn áp
压岁钱,yā suì qián,money given to children as new year present,tiền tặng trẻ em làm quà năm mới
压缩,yā suō,to compress,nén
压抑,yā yì,to constrain or repress emotions,để hạn chế hoặc kìm nén cảm xúc
压榨,yā zhà,to press,nhấn
压制,yā zhì,to suppress,để đàn áp
亚军,yà jūn,second place (in a sports contest),vị trí thứ hai (trong một cuộc thi thể thao)
烟花,yān huā,fireworks,pháo hoa
淹没,yān mò,to submerge,nhấn chìm
延期,yán qī,to delay,trì hoãn
延伸,yán shēn,to extend,mở rộng
延续,yán xù,to continue,tiếp tục
严寒,yán hán,bitter cold,lạnh buốt
严禁,yán jìn,strictly prohibit,nghiêm cấm
严峻,yán jùn,grim,nghiệt ngã
严厉,yán lì,severe,nghiêm trọng
严密,yán mì,strict,nghiêm ngặt
沿海,yán hǎi,coastal,ven biển
言论,yán lùn,speech,lời nói
炎热,yán rè,blistering hot,nóng phồng rộp
岩石,yán shí,rock,đá
演变,yǎn biàn,to develop,để phát triển
演讲,yǎn jiǎng,lecture,bài giảng
演习,yǎn xí,maneuver,điều động
演绎,yǎn yì,to deduce,để suy luận
演奏,yǎn zòu,to play a musical instrument,chơi một nhạc cụ
掩盖,yǎn gài,to conceal,che giấu
掩护,yǎn hù,to screen,để sàng lọc
掩饰,yǎn shì,to conceal a fault,để che giấu một lỗi
眼光,yǎn guāng,gaze,nhìn chằm chằm
眼色,yǎn sè,a wink,một cái nháy mắt
眼神,yǎn shén,expression or emotion showing in one's eyes,biểu hiện hoặc cảm xúc thể hiện trong mắt của một người
眼下,yǎn xià,now,Hiện nay
验收,yàn shōu,to check on receipt,để kiểm tra biên nhận
验证,yàn zhèng,to inspect and verify,để kiểm tra và xác minh
厌恶,yàn wù,to loathe,ghê tởm
氧气,yǎng qì,oxygen,ôxy
样品,yàng pǐn,sample,vật mẫu
摇摆,yáo bǎi,to sway,lắc lư
摇滚,yáo gǔn,to shake and boil,lắc và đun sôi
摇晃,yáo huàng,to rock,đá
遥控,yáo kòng,remote control,điều khiển từ xa
遥远,yáo yuǎn,distant,xa xôi
谣言,yáo yán,rumor,tin đồn
咬牙切齿,yǎo yá qiè chǐ,gnashing one's teeth (idiom); displaying extreme anger,nghiến răng (thành ngữ); thể hiện sự tức giận tột độ
要不然,yào bù rán,otherwise,nếu không thì
要点,yào diǎn,main point,điểm chính
要命,yào mìng,to cause sb's death,gây ra cái chết của ai đó
要素,yào sù,essential factor,yếu tố thiết yếu
耀眼,yào yǎn,to dazzle,làm lóa mắt
野蛮,yě mán,barbarous,dã man
野心,yě xīn,ambition,tham vọng
一流,yī liú,top quality,chất lượng hàng đầu
依次,yī cì,in order,theo thứ tự
依旧,yī jiù,as before,như trước đây
依据,yī jù,according to,theo
依靠,yī kào,to rely on sth (for support etc),"dựa vào cái gì đó (để được hỗ trợ, v.v.)"
依赖,yī lài,to depend on,phụ thuộc vào
依托,yī tuō,to rely on,dựa vào
衣裳,yī shang,clothes,quần áo
一度,yī dù,for a time,trong một thời gian
一贯,yī guàn,consistent,nhất quán
一律,yī lǜ,same,như nhau
一目了然,yī mù liǎo rán,obvious at a glance (idiom),rõ ràng trong nháy mắt (thành ngữ)
一向,yī xiàng,always (previously),luôn luôn (trước đây)
一再,yī zài,repeatedly,nhiều lần
遗产,yí chǎn,heritage,di sản
遗传,yí chuán,heredity,sự di truyền
遗留,yí liú,(leave or be a) legacy,(để lại hoặc là một) di sản
遗失,yí shī,to lose,thua
疑惑,yí huò,to doubt,nghi ngờ
仪器,yí qì,instrument,dụng cụ
仪式,yí shì,ceremony,lễ
以便,yǐ biàn,so that,để có thể
以免,yǐ miǎn,in order to avoid,để tránh
以往,yǐ wǎng,in the past,trong quá khứ
以至,yǐ zhì,down to,xuống
以致,yǐ zhì,to such an extent as to,đến mức độ như vậy
亦,yì,also,Mà còn
翼,yì,wing,cánh
一帆风顺,yī fān fēng shùn,propitious wind throughout the journey (idiom),gió thuận lợi trong suốt cuộc hành trình (thành ngữ)
一举两得,yī jǔ liǎng dé,one move,một lần di chuyển
一如既往,yī rú jì wǎng,just as in the past (idiom); as before,cũng như trong quá khứ (thành ngữ); như trước đây
一丝不苟,yī sī bù gǒu,not one thread loose (idiom); strictly according to the rules,không một sợi dây lỏng lẻo (thành ngữ); theo đúng quy định
异常,yì cháng,exceptional,đặc biệt
意料,yì liào,to anticipate,dự đoán
意识,yì shí,consciousness,ý thức
意图,yì tú,intent,ý định
意味着,yì wèi zhe,to signify,để biểu thị
意向,yì xiàng,intention,chủ đích
意志,yì zhì,will,sẽ
毅力,yì lì,perseverance,sự kiên trì
毅然,yì rán,firmly,vững chắc
抑制,yì zhì,to inhibit,để ức chế
阴谋,yīn móu,plot,kịch bản
音响,yīn xiǎng,speakers or speaker (electronic),loa hoặc loa (điện tử)
隐蔽,yǐn bì,to conceal,che giấu
隐患,yǐn huàn,a danger concealed within sth,một mối nguy hiểm ẩn giấu trong cái gì đó
隐瞒,yǐn mán,to conceal,che giấu
隐私,yǐn sī,secrets,bí mật
隐约,yǐn yuē,vague,mơ hồ
引导,yǐn dǎo,to guide,hướng dẫn
引擎,yǐn qíng,engine (loanword),động cơ (từ mượn)
引用,yǐn yòng,to quote,trích dẫn
饮食,yǐn shí,food and drink,thức ăn và đồ uống
印刷,yìn shuā,print,in
婴儿,yīng ér,infant,trẻ sơ sinh
英明,yīng míng,wise,khôn ngoan
英勇,yīng yǒng,bravery,lòng dũng cảm
迎面,yíng miàn,directly,trực tiếp
盈利,yíng lì,profit,lợi nhuận
荧屏,yíng píng,fluorescent screen,màn huỳnh quang
应酬,yìng chou,social niceties,sự tốt đẹp xã hội
应邀,yìng yāo,at sb's invitation,theo lời mời của ai đó
拥护,yōng hù,to endorse,để xác nhận
拥有,yōng yǒu,to have,có
庸俗,yōng sú,filthy,bẩn thỉu
勇于,yǒng yú,to dare to,dám làm
永恒,yǒng héng,eternal,vĩnh cửu
涌现,yǒng xiàn,to emerge in large numbers,xuất hiện với số lượng lớn
踊跃,yǒng yuè,to leap,nhảy
用功,yòng gōng,diligent,siêng năng
用户,yòng hù,user,người dùng
优胜劣汰,yōu shèng liè tài,survival of the fittest (idiom),sự sống còn của kẻ mạnh nhất (thành ngữ)
优先,yōu xiān,priority,sự ưu tiên
优异,yōu yì,exceptional,đặc biệt
优越,yōu yuè,superior,thượng đẳng
忧郁,yōu yù,sullen,ủ rũ
油腻,yóu nì,grease,dầu mỡ
油漆,yóu qī,oil paints,sơn dầu
犹如,yóu rú,similar to,tương tự như
有条不紊,yǒu tiáo bù wěn,regular and thorough (idiom); methodically arranged,thường xuyên và kỹ lưỡng (thành ngữ); sắp xếp có phương pháp
幼稚,yòu zhì,young,trẻ
诱惑,yòu huò,to entice,để lôi kéo
愚蠢,yú chǔn,silly,ngớ ngẩn
愚昧,yú mèi,ignorant,ngu dốt
舆论,yú lùn,public opinion,dư luận
渔民,yú mín,fisherman,ngư dân
与日俱增,yǔ rì jù zēng,to increase steadily,tăng đều đặn
羽绒服,yǔ róng fú,down-filled garment,quần áo đầy ắp
予以,yǔ yǐ,to give,để cho
愈,yù,to heal,chữa lành
预料,yù liào,to forecast,để dự báo
预期,yù qī,to expect,mong đợi
预赛,yù sài,preliminary competition,cuộc thi sơ bộ
预算,yù suàn,budget,ngân sách
预先,yù xiān,beforehand,trước
预言,yù yán,to predict,dự đoán
预兆,yù zhào,omen,điềm báo
欲望,yù wàng,desire,sự mong muốn
寓言,yù yán,fable,truyện ngụ ngôn
冤枉,yuān wang,hatred,hận thù
元首,yuán shǒu,head of state,nguyên thủ quốc gia
元素,yuán sù,element,yếu tố
元宵节,Yuán xiāo jié,Lantern Festival,Lễ hội đèn lồng
圆满,yuán mǎn,satisfactory,thỏa đáng
原告,yuán gào,complainant,người khiếu nại
原理,yuán lǐ,principle,nguyên tắc
原始,yuán shǐ,first,Đầu tiên
原先,yuán xiān,former,trước
园林,yuán lín,gardens,khu vườn
源泉,yuán quán,fountainhead,đầu nguồn
约束,yuē shù,to restrict,hạn chế
岳父,yuè fù,wife's father,bố vợ
乐谱,yuè pǔ,a musical score,một bản nhạc
熨,yùn,an iron,một cái bàn ủi
蕴藏,yùn cáng,to hold in store,để giữ trong cửa hàng
运算,yùn suàn,(mathematical) operation,(toán học) phép toán
运行,yùn xíng,to be in motion,được chuyển động
酝酿,yùn niàng,(of alcohol) to ferment,(rượu) lên men
孕育,yùn yù,to be pregnant,có thai
砸,zá,smash,đập vỡ
杂技,zá jì,acrobatics,nhào lộn
杂交,zá jiāo,a hybrid,một sự lai tạo
咋,zǎ,dialectal equivalent of 怎麼|怎么[zěn me],phương ngữ tương đương với 怎麼|怎么[zěn me]
灾难,zāi nàn,disaster,thảm họa
栽培,zāi péi,to grow,phát triển
宰,zǎi,to slaughter livestock,giết mổ gia súc
在乎,zài hu,determined by,được xác định bởi
在意,zài yì,to care about,quan tâm đến
