"expression","reading","meaning","tags","guid","meaning_vi"
"修行","しゅぎょう","pursuit of knowledge, training, ascetic practice","JLPT_1 JLPT","KirESaOr*_","theo đuổi kiến ​​thức, rèn luyện, thực hành khổ hạnh"
"塾","じゅく","after-school (cram) school","JLPT Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki","r6*vU;-fx(","trường học sau giờ học (cram)"
"祝賀","しゅくが","celebration, congratulations","JLPT_1 JLPT","wRzD+</l;5","ăn mừng, chúc mừng"
"宿命","しゅくめい","fate, destiny, predestination","JLPT_1 JLPT","BFNKk^{M1j","số phận, định mệnh, tiền định"
"手芸","しゅげい","handicrafts","JLPT_1 JLPT","QuReZ-t?cb","thủ công mỹ nghệ"
"主権","しゅけん","sovereignty","JLPT_1 JLPT","bc]8:XVC+v","chủ quyền"
"主催","しゅさい","organization, sponsorship, to host","JLPT_1 JLPT","Az?/+|wSuL","tổ chức, tài trợ, đăng cai"
"取材","しゅざい","coverage, collecting data","JLPT_1 JLPT","ALv+C0}[Uy","bao quát, thu thập dữ liệu"
"趣旨","しゅし","object, meaning","JLPT_1 JLPT","r#aoMGQ7ru","đối tượng, ý nghĩa"
"種々","しゅじゅ","variety","JLPT_1 JLPT","L$zP;w1Dds","đa dạng"
"主食","しゅしょく","staple food","JLPT_1 JLPT","Ff{n(i0=[l","thực phẩm chủ yếu"
"主人公","しゅじんこう","protagonist","JLPT_1 JLPT","Ci-hQYEll","nhân vật chính"
"主体","しゅたい","subject, main constituent","JLPT_1 JLPT","wk,7:5Ulq:","chủ thể, thành phần chính"
"主題","しゅだい","subject, theme, motif","JLPT_1 JLPT","t4<KTH8w{.","chủ đề, chủ đề, mô típ"
"出演","しゅつえん","leading performer, stage appearance","JLPT_1 JLPT","B>+JLE{F%w","người biểu diễn hàng đầu, xuất hiện trên sân khấu"
"出血","しゅっけつ","bleeding","JLPT_1 JLPT","jt7Tvjw[T<","chảy máu"
"出現","しゅつげん","appearance, arrival","JLPT_1 JLPT","et$R3oC-m[","sự xuất hiện, sự đến"
"出産","しゅっさん","childbirth","JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese","CT4;+h>Ai7","sinh con"
"出社","しゅっしゃ","come to work","JLPT_1 JLPT","Gd$MA{t_:M","đến làm việc"
"出生","しゅっしょう","birth","JLPT_1 JLPT","CwJVE%al3B","sinh"
"出生","しゅっせい","birth","JLPT_1 JLPT","cV$*)i2b6%","sinh"
"微量","びりょう","minuscule amount, extremely small quantity","JLPT_1 JLPT","Ix21c!hl+{","số lượng cực nhỏ, số lượng cực nhỏ"
"昼飯","ひるめし","lunch (mid-day meal)","JLPT_1 JLPT","B4a{kV3{l&","bữa trưa (bữa trưa)"
"比例","ひれい","proportion","JLPT_1 JLPT","u^9gz.!&Uk","tỷ lệ"
"疲労","ひろう","fatigue, weariness","JLPT_1 JLPT","m.KXL51O8=","sự mệt mỏi, sự kiệt sức"
"敏感","びんかん","sensibility, susceptibility, sensitive (to)","JLPT_1 JLPT","i]}jt3Q.(f","tính nhạy cảm, tính nhạy cảm, tính nhạy cảm (với)"
"貧困","ひんこん","poverty, lack","JLPT_1 JLPT","xy9G9E{K5M","nghèo đói, thiếu thốn"
"品質","ひんしつ","quality","JLPT_1 JLPT","v)0nMB=(Mu","chất lượng"
"貧弱","ひんじゃく","poor, meager, insubstantial","JLPT_1 JLPT","AT#enW$Yd,","nghèo nàn, ít ỏi, không đáng kể"
"品種","ひんしゅ","breed, type, variety","JLPT_1 JLPT","K%9{]!|f1(","giống, chủng loại, chủng loại"
"ヒント","ヒント","hint","JLPT_1 JLPT","l]_+v%b&%R","gợi ý"
"頻繁","ひんぱん","frequency","JLPT_1 JLPT","D{nW!<u7<*","Tính thường xuyên"
"貧乏","びんぼう","poverty, destitute, poor","JLPT_1 JLPT","KjBzaYHZW.","nghèo đói, cơ cực, nghèo nàn"
"ファイト","ファイト","fight","JLPT_1 JLPT","C?{V+<,&x0","trận đánh"
"ファイル","ファイル","file; portfolio","JLPT_1 Genki_Ln.16 JLPT Genki","srC<dgokBJ","tài liệu; danh mục đầu tư"
"ファン","ファン","fan","JLPT_1 JLPT","hsy0ORScG&","cái quạt"
"不意","ふい","sudden, abrupt, unexpected","JLPT_1 JLPT","xgYlO*O}d~","đột ngột, đột ngột, bất ngờ"
"フィルタ","フィルタ","filter","JLPT_1 JLPT","jmKbIb6QcW","lọc"
"封","ふう","seal","JLPT_1 JLPT","iHGcq7T#S>","niêm phong"
"封鎖","ふうさ","blockade, freezing (funds)","JLPT_1 JLPT","Ae_x+Wt0^{","phong tỏa, đóng băng (quỹ)"
"風車","ふうしゃ","windmill","JLPT_1 JLPT","m${YvIujFj","cối xay gió"
"風習","ふうしゅう","custom","JLPT_1 JLPT","IfkXX^HH}1","phong tục"
"風俗","ふうぞく","manners, customs; sex industry","JLPT_1 JLPT","e3n120S&QB","cách cư xử, phong tục; ngành công nghiệp tình dục"
"ブーツ","ブーツ","boots","JLPT_1 JLPT","Nihzy$?;~s","bốt"
"風土","ふうど","natural features, climate","JLPT_1 JLPT","B(IXgyGNd~","đặc điểm tự nhiên, khí hậu"
"ブーム","ブーム","boom","JLPT_1 JLPT","FMQ@X9![T+","bùng nổ"
"フォーム","フォーム","foam; form","JLPT_1 JLPT","N.>_aoM)4S","bọt; hình thức"
"部下","ぶか","one's subordinate","JLPT Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.9 Genki_Ln.22 Genki","At:l-rSeL9","cấp dưới của một người"
"不可欠","ふかけつ","indispensable, essential","JLPT_1 JLPT","$D>BzY&Eq","không thể thiếu, thiết yếu"
"ぶかぶか","ぶかぶか","too big, baggy","JLPT_1 JLPT","M4TQ1zs9*D","quá to, rộng thùng thình"
"不吉","ふきつ","ominous, sinister, bad luck, ill omen","JLPT_1 JLPT","GG4guCQ>St","điềm gở, điềm gở, điềm gở, điềm gở"
"不況","ふきょう","recession, depression, slump","JLPT_1 JLPT","NAxBuR@3>.","suy thoái, suy thoái, suy thoái"
"布巾","ふきん","dish cloth","JLPT_1 JLPT","P<Zf%&wJ!m","khăn lau bát đĩa"
"複合","ふくごう","composite, complex","JLPT_1 JLPT","p=QT;iGf;n","tổng hợp, phức tạp"
"福祉","ふくし","welfare, well-being","JLPT_1 JLPT","b03!@u1#5V","phúc lợi, phúc lợi"
"覆面","ふくめん","mask, veil, disguise","JLPT_1 JLPT","QXg#lB9xS_","mặt nạ, mạng che mặt, ngụy trang"
"膨れる","ふくれる","to swell (out), to be inflated, to bulge","JLPT_1 JLPT","Ie:O+1U,1j","phồng lên (ra), phồng lên, phồng lên"
"不景気","ふけいき","business recession, hard times, depression","JLPT_1 JLPT","iNdMUnu]F,","kinh doanh suy thoái, thời kỳ khó khăn, suy thoái"
"耽る","ふける","to indulge in, to give oneself up to, to be absorbed in","JLPT_1 JLPT","v[B)O.T7PD","đắm mình vào, từ bỏ chính mình, đắm chìm trong"
"老ける","ふける","to age","JLPT_1 JLPT","QZ$)s`u+7V","già đi"
"富豪","ふごう","wealthy person, millionaire","JLPT_1 JLPT","de)G:rS8ob","người giàu có, triệu phú"
"布告","ふこく","edict, ordinance, proclamation","JLPT_1 JLPT","m`EP77(8*G","sắc lệnh, sắc lệnh, lời tuyên bố"
"ブザー","ブザー","buzzer","JLPT_1 JLPT","C0kjm{<IuS","còi"
"負債","ふさい","debt, liabilities","JLPT_1 JLPT","qG<ySRudYV","nợ, nghĩa vụ"
"不在","ふざい","absence","JLPT_1 JLPT","rCM+ktTr!?","sự vắng mặt"
"ふさわしい","ふさわしい","appropriate","JLPT_1 JLPT","j1c*Q9d`L}","phù hợp"
"不順","ふじゅん","irregularity, unseasonableness","JLPT_1 JLPT","kwTZda>KFz","sự bất thường, sự trái mùa"
"負傷","ふしょう","injury, wound","JLPT_1 JLPT","o+oZbWGZ`o","vết thương, vết thương"
"侮辱","ぶじょく","insult, contempt, slight","JLPT_1 JLPT","g>J&PTIuaT","xúc phạm, khinh thường, coi nhẹ"
"不審","ふしん","suspicious, doubt, infidelity","JLPT_1 JLPT","jmIlRt&BUg","nghi ngờ, nghi ngờ, ngoại tình"
"不振","ふしん","dullness, slump, stagnation","JLPT_1 JLPT","G]_~>elSdu","sự trì trệ, sự trì trệ, sự trì trệ"
"武装","ぶそう","arms, armament, armed","JLPT_1 JLPT","JTlLA8kPQ$","vũ khí, vũ khí, vũ trang"
"札","ふだ","token, label; ticket, card; charm, talisman","JLPT_1 JLPT","P_/*Zy2*:b","mã thông báo, nhãn; vé, thẻ; sự quyến rũ, bùa hộ mệnh"
"負担","ふたん","burden; load","JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese","Gta/;X`Z+t","gánh nặng; trọng tải"
"不調","ふちょう","bad condition, disorder, slump","JLPT_1 JLPT","j!ymTpYo|(","tình trạng tồi tệ, rối loạn, suy sụp"
"復活","ふっかつ","revival (e.g., musical), restoration","JLPT_1 JLPT","Hga}Pqjl1G","sự hồi sinh (ví dụ: âm nhạc), sự phục hồi"
"物議","ぶつぎ","public discussion (criticism)","JLPT_1 JLPT","E>jQlZ<@Gi","thảo luận công khai (phê bình)"
"復旧","ふっきゅう","restoration, restitution, rehabilitation","JLPT_1 JLPT","v+skQS.kck","sự phục hồi, sự phục hồi, sự phục hồi"
"復興","ふっこう","revival, renaissance, reconstruction","JLPT_1 JLPT","DSf6z@!#o3","sự hồi sinh, sự phục hưng, sự tái thiết"
"物資","ぶっし","goods, materials","JLPT_1 JLPT","wx*<XPsco8","hàng hóa, vật tư"
"仏像","ぶつぞう","Buddhist image (statue)","JLPT_1 JLPT","oCnal+d5Dm","Hình ảnh Phật giáo (tượng)"
"物体","ぶったい","object","JLPT_1 JLPT","vQK(_s<&_e","sự vật"
"沸騰","ふっとう","boiling, seething","JLPT_1 JLPT","K!6nK8uJ5*","sôi sục, sôi sùng sục"
"不当","ふとう","injustice, impropriety, unfair","JLPT_1 JLPT","AB;-J~^I,j","sự bất công, sự không đúng đắn, không công bằng"
"不動産","ふどうさん","real estate","JLPT_1 JLPT","Mv%siEq0S4","bất động sản"
"無難","ぶなん","safety, security","JLPT_1 JLPT","L:*{h+[3Gh","sự an toàn, an ninh"
"赴任","ふにん","(proceeding to) new appointment","JLPT_1 JLPT","oAb.`u!o*I","(tiến hành) cuộc hẹn mới"
"腐敗","ふはい","decay, depravity","JLPT_1 JLPT","M`8*mP*qtg","sự suy đồi, sự sa đọa"
"不評","ふひょう","bad reputation, disgrace, unpopularity","JLPT_1 JLPT","uWKg6kq8N?","tiếng xấu, sự ô nhục, sự không được ưa chuộng"
"不服","ふふく","dissatisfaction, discontent, disapproval","JLPT_1 JLPT","efQHJ:1O+%","sự bất mãn, sự bất mãn, sự không tán thành"
"普遍","ふへん","universality, ubiquity, omnipresence","JLPT_1 JLPT","DU4nCA/=D7","tính phổ quát, tính toàn diện, tính toàn diện"
"踏まえる","ふまえる","to be based on, to have origin in","JLPT_1 JLPT","FbvWJQ2aYz","dựa vào, có nguồn gốc từ"
"踏み込む","ふみこむ","to step into (someone else's territory, to break into, to raid","JLPT_1 JLPT","KsQ]!/u$%%","bước vào (lãnh thổ của người khác, đột nhập, đột kích"
"不明","ふめい","unknown, ambiguous","JLPT_1 JLPT","c[|*N}]Ng.","không rõ, mơ hồ"
"部門","ぶもん","class, group, category, department, field, branch","JLPT_1 JLPT","fW<r$/Xexi","lớp, nhóm, thể loại, bộ phận, lĩnh vực, chi nhánh"
"扶養","ふよう","support, maintenance","JLPT_1 JLPT","c&|r4tzL6g","hỗ trợ, bảo trì"
"ふらふら","ふらふら","unsteady on one's feet, totter, dizzy","JLPT_1 JLPT","cGi)S~zu?F","đứng không vững, lảo đảo, chóng mặt"
"ぶらぶら","ぶらぶら","dangle heavily, sway to and fro, stroll idly","JLPT_1 JLPT","cSlQ|q,LD<","nặng trĩu, lắc lư tới lui, đi dạo nhàn rỗi"
"振り返る","ふりかえる","to turn head, to turn around, to look back","JLPT_1 JLPT","i6Y*X-6gv)","quay đầu, quay lại, nhìn lại"
"振り出し","ふりだし","outset, starting point, drawing or issuing (draft)","JLPT_1 JLPT","A2?E7UEb&,","sự khởi đầu, điểm bắt đầu, bản vẽ hoặc phát hành (dự thảo)"
"不良","ふりょう","badness, delinquent, failure","JLPT_1 JLPT","APww5XImb>","tính xấu, phạm pháp, thất bại"
"浮力","ふりょく","buoyancy","JLPT_1 JLPT","DkFrZlvY6D","sức nổi"
"武力","ぶりょく","armed might, military power, the sword, force","JLPT_1 JLPT","l$;!dayR0#","sức mạnh vũ trang, sức mạnh quân sự, thanh kiếm, lực lượng"
"ブル","ブル","bull","JLPT_1 JLPT","vCf7eeE})t","con bò đực"
"震わせる","ふるわせる","to be shaking, to be trembling","JLPT_1 JLPT","j:m!@?JEXR","run rẩy, run rẩy"
"無礼","ぶれい","impolite, rude","JLPT_1 JLPT","hx5Ck[5*mQ","bất lịch sự, thô lỗ"
"付録","ふろく","appendix, supplement","JLPT_1 JLPT","z3>_<:;2Kw","phụ lục, phần bổ sung"
"フロント","フロント","front","JLPT_1 JLPT","QB*(L<))Uf","đằng trước"
"憤慨","ふんがい","indignation, resentment","JLPT_1 JLPT","M|ckH|tS}_","sự phẫn nộ, oán giận"
"文化財","ぶんかざい","cultural assets, cultural property","JLPT_1 JLPT","GKrt{zi]?g","tài sản văn hóa, tài sản văn hóa"
"分業","ぶんぎょう","division of labor, specialization, assembly-line production","JLPT_1 JLPT","BTtV3{+^[7","phân công lao động, chuyên môn hóa, sản xuất theo dây chuyền"
"文語","ぶんご","written language, literary language","JLPT_1 JLPT","O2yEclYZ/f","ngôn ngữ viết, ngôn ngữ văn học"
"分散","ぶんさん","dispersion, decentralization, variance (statistics)","JLPT_1 JLPT","w2^IG)[nB&","phân tán, phân cấp, phương sai (thống kê)"
"分子","ぶんし","numerator, molecule","JLPT_1 JLPT","rK-5&@bZ0^","tử số, phân tử"
"紛失","ふんしつ","losing something","JLPT_1 JLPT","j5|sBvq.}8","mất đi thứ gì đó"
"噴出","ふんしゅつ","spewing, gushing, spouting","JLPT_1 JLPT","D3z2#~XD*U","phun ra, phun ra, phun ra"
"文書","ぶんしょ","document, writing","JLPT_1 JLPT","bo]+8nZw?m","tài liệu, văn bản"
"紛争","ふんそう","dispute, trouble, strife","JLPT_1 JLPT","OV3#PrQH78","tranh chấp, rắc rối, xung đột"
"ふんだん","ふんだん","plentiful, abundant, lavish","JLPT_1 JLPT","MwIZm`m=c%","dồi dào, phong phú, dồi dào"
"分担","ぶんたん","apportionment, sharing","JLPT_1 JLPT","gy+k.s^o1O","sự phân chia, sự chia sẻ"
"奮闘","ふんとう","hard struggle, strenuous effort","JLPT_1 JLPT","L`X>(7GS~^","sự đấu tranh gian khổ, sự nỗ lực vất vả"
"分配","ぶんぱい","division, sharing","JLPT_1 JLPT","r[[VI2iWnz","chia sẻ, chia sẻ"
"分母","ぶんぼ","denominator","JLPT_1 JLPT","BM+H~/z91A","mẫu số"
"粉末","ふんまつ","fine powder","JLPT_1 JLPT","O?vF%vQ*a#","bột mịn"
"分離","ぶんり","separation, detachment, segregation","JLPT_1 JLPT","u?^XP3ZSZ)","sự tách ra, sự tách ra, sự tách biệt"
"分裂","ぶんれつ","split, division, break up","JLPT_1 JLPT","FG95S7^tJT","chia, chia, chia tay"
"ペア","ペア","pair, pear","JLPT_1 JLPT","k=Nb=9qw5N","cặp, quả lê"
"兵器","へいき","arms, weapons, ordinance","JLPT_1 JLPT","wAUL<0|lY_","vũ khí, vũ khí, sắc lệnh"
"閉口","へいこう","shut mouth","JLPT_1 JLPT","g74gm$0hDG","ngậm miệng lại"
"閉鎖","へいさ","closing, closure, shutdown","JLPT_1 JLPT","m*Y:Rj#(nz","đóng cửa, đóng cửa, tắt máy"
"兵士","へいし","soldier","JLPT_1 JLPT","B3%=Tm.br`","lính"
"平常","へいじょう","normal, usual","JLPT_1 JLPT","i$h--6kH#|","bình thường, thông thường"
"平方","へいほう","square (e.g., meter, square)","JLPT_1 JLPT","pZOmk8w#A@","hình vuông (ví dụ: mét, hình vuông)"
"並列","へいれつ","arrangement, parallel, abreast","JLPT_1 JLPT","QDMVtj-X)]","sắp xếp, song song, ngang nhau"
"ベース","ベース","base, bass","JLPT_1 JLPT","m~Et>&CToA","cơ sở, âm trầm"
"辟易","へきえき","wince, shrink back, succumbing to, being frightened","JLPT_1 JLPT","wo~f0ok]vp","co rúm lại, co rúm lại, không chịu nổi, sợ hãi"
"ぺこぺこ","ぺこぺこ","fawn, be very hungry","JLPT_1 JLPT","F.Cz<ZL1y8","mèo con, đói quá"
"ベスト","ベスト","best; vest","JLPT_1 JLPT","kVQ_O=hpyu","tốt nhất; áo vest"
"ベストセラー","ベストセラー","best-seller","JLPT_1 JLPT","k[DIJ,exg`","bán chạy nhất"
"隔たる","へだたる","to be distant","JLPT_1 JLPT","b4BPS$[Q>/","trở nên xa cách"
"縁","へり","edge","JLPT_1 JLPT","g}BbfTHa#|","bờ rìa"
"へりくだる","へりくだる","to deprecate oneself and praise the listener","JLPT_1 JLPT","fb3Sk}Zmt.","để tự ti và khen ngợi người nghe"
"弁解","べんかい","explanation, justification, excuse","JLPT_1 JLPT","Eu*5BbIK^d","giải thích, bào chữa, bào chữa"
"変革","へんかく","change, reform(the) Reformation","JLPT_1 JLPT","JH(PT>%qS{","sự thay đổi, sự cải cách (sự) cải cách"
"返還","へんかん","return, restoration","JLPT_1 JLPT","F`|5A?wBp8","trở lại, phục hồi"
"便宜","べんぎ","convenience, accommodation","JLPT_1 JLPT","uw9O+5v>m#","tiện nghi, chỗ ở"
"偏見","へんけん","prejudice, narrow view","JLPT_1 JLPT","H5~Io~/)~0","thành kiến, cái nhìn hạn hẹp"
"弁護","べんご","defense, pleading, advocacy","JLPT_1 JLPT","rHoP07l#m/","bào chữa, bào chữa, bào chữa"
"返済","へんさい","repayment","JLPT_1 JLPT","G.5i-maV%u","trả nợ"
"弁償","べんしょう","compensation, reparation, reimbursement","JLPT_1 JLPT","H^-g_F:FjG","sự đền bù, sự đền bù, sự hoàn trả"
"変遷","へんせん","change, transition, vicissitudes","JLPT_1 JLPT","qt*X5m;y07","thay đổi, chuyển tiếp, thăng trầm"
"返答","へんとう","reply","JLPT_1 JLPT","A+kZ]*6U1q","hồi đáp"
"変動","へんどう","change, fluctuation","JLPT_1 JLPT","giBey3?e,4","sự thay đổi, biến động"
"弁論","べんろん","discussion, debate, argument","JLPT_1 JLPT","A=n2+Ps#LJ","cuộc thảo luận, cuộc tranh luận, sự tranh luận"
"穂","ほ","ear (of plant), head (of plant)","JLPT_1 JLPT","c0##(*ojkQ","tai (của cây), đầu (của cây)"
"保育","ほいく","nursing, nurturing, rearing","JLPT_1 JLPT","i3iCkIhG8y","nuôi nấng, nuôi nấng, nuôi nấng"
"ボイコット","ボイコット","boycott","JLPT_1 JLPT","mR[e%~Ga7o","tẩy chay"
"ポイント","ポイント","point","JLPT_1 JLPT","J#f7z)[.2}","điểm"
"法案","ほうあん","bill (law)","JLPT_1 JLPT","G67]H`pE*(","dự luật (luật)"
"防衛","ぼうえい","defense, protection, self-defense","JLPT_1 JLPT","D~[_4zhU{o","sự phòng vệ, sự bảo vệ, sự tự vệ"
"防火","ぼうか","fire prevention, fire fighting, fire proof","JLPT_1 JLPT","nk53s<H-ud","phòng cháy, chữa cháy, chống cháy"
"崩壊","ほうかい","collapse, decay (physics), crumbling","JLPT_1 JLPT","jGI8,H>%=u","sụp đổ, phân rã (vật lý), sụp đổ"
"妨害","ぼうがい","disturbance, obstruction, interference","JLPT_1 JLPT","k0?pSKRG!b","sự xáo trộn, sự cản trở, sự can thiệp"
"法学","ほうがく","law, jurisprudence","JLPT_1 JLPT","Mp|Wasr2Aa","pháp luật, luật học"
"封建","ほうけん","feudalistic","JLPT_1 JLPT","I3}@<tlawU","phong kiến"
"豊作","ほうさく","abundant harvest, bumper crop","JLPT_1 JLPT","DcQa/!NBRf","mùa màng bội thu, mùa màng bội thu"
"方策","ほうさく","plan, policy","JLPT_1 JLPT","jAYb5%jhb","kế hoạch, chính sách"
"奉仕","ほうし","attendance, service","JLPT_1 JLPT","jl!5Ew9{A&","tham dự, phục vụ"
"方式","ほうしき","form, method, system","JLPT_1 JLPT","JK5hiz`$ai","hình thức, phương pháp, hệ thống"
"放射","ほうしゃ","radiation, emission","JLPT_1 JLPT","s&NZ<R!wMX","bức xạ, khí thải"
"放射能","ほうしゃのう","radioactivity","JLPT_1 JLPT","gGVwqx%~R]","tính phóng xạ"
"報酬","ほうしゅう","remuneration, recompense, reward","JLPT_1 JLPT","f3~#Hf{b;R","sự trả công, sự đền đáp, sự thưởng"
"放出","ほうしゅつ","release, emit","JLPT_1 JLPT","sh*BL^`)[I","phát ra, phát ra"
"報じる","ほうじる","to inform, to report","JLPT_1 JLPT","JFEJ]`)bZ8","để thông báo, báo cáo"
"報ずる","ほうずる","to inform, to report","JLPT_1 JLPT","KRvk3^-|,F","để thông báo, báo cáo"
"紡績","ぼうせき","spinning","JLPT_1 JLPT","c(WbBZ;AX4","quay tròn"
"呆然","ぼうぜん","dumbfounded, overcome with surprise","JLPT_1 JLPT","D,29%Cq6kO","chết lặng, choáng ngợp vì ngạc nhiên"
"放置","ほうち","leave as is, leave alone, neglect","JLPT_1 JLPT","v(CYy#&;?A","để nguyên, để yên, bỏ bê"
"膨張","ぼうちょう","expansion, swelling, increase","JLPT_1 JLPT","yrEhMT2lD[","sự giãn nở, sưng lên, tăng lên"
"法廷","ほうてい","courtroom","JLPT_1 JLPT","DT=sfW*:r&","phòng xử án"
"報道","ほうどう","coverage, report","JLPT_1 JLPT","c6C5#ID_tl","đưa tin, báo cáo"
"冒頭","ぼうとう","beginning, start, outset","JLPT_1 JLPT","j#7sz+T+0t","sự bắt đầu, sự bắt đầu, sự khởi đầu"
"暴動","ぼうどう","insurrection, riot, uprising","JLPT_1 JLPT","z>Vj=5Gt8G","cuộc nổi dậy, cuộc bạo loạn, cuộc nổi dậy"
"褒美","ほうび","reward, prize","JLPT_1 JLPT","p$ZOw#.2V@","phần thưởng, giải thưởng"
"暴風","ぼうふう","storm, windstorm, gale","JLPT_1 JLPT","G7m5?HCHEG","bão, giông bão, gió mạnh"
"葬る","ほうむる","to bury, to entomb","JLPT_1 JLPT","o:m}t1oj2f","chôn, chôn vùi"
"放り込む","ほうりこむ","to throw into","JLPT_1 JLPT","eWW}rHT.ef","ném vào"
"放り出す","ほうりだす","to throw out, to give up, to abandon","JLPT_1 JLPT","x@6@j{vH4g","vứt bỏ, từ bỏ, từ bỏ"
"暴力","ぼうりょく","violence","JLPT_1 JLPT","bBwqHP,dIr","bạo lực"
"飽和","ほうわ","saturation","JLPT_1 JLPT","e-F){8|6>q","bão hòa"
"ホース","ホース","hose","JLPT_1 JLPT","mR5}X@MWM{","vòi nước"
"ポーズ","ポーズ","pause","JLPT_1 JLPT","o2eqJ-PY$U","tạm dừng"
"ホール","ホール","hall; hole","JLPT_1 JLPT","g=V#H+1mJd","sảnh; hố"
"保温","ほおん","retaining warmth, keeping heat in, heat insulation","JLPT_1 JLPT","caxU`1c?H}","Giữ ấm, giữ nhiệt, cách nhiệt"
"捕獲","ほかく","capture, seizure","JLPT_1 JLPT","b>64#LmJ&_","bắt giữ, tịch thu"
"保管","ほかん","custody, safekeeping, storage","JLPT_1 JLPT","dQ*M>yKiW}","sự trông coi, bảo quản, cất giữ"
"補給","ほきゅう","supply, supplying, replenishment","JLPT_1 JLPT","Dc(.H5{&b@","cung cấp, cung cấp, bổ sung"
"補強","ほきょう","reinforcement","JLPT_1 JLPT","J3$|<dn.re","tăng cường"
"募金","ぼきん","fund-raising, collection of funds","JLPT_1 JLPT","h)Vl=R>l^q","gây quỹ, thu tiền"
"牧師","ぼくし","pastor, minister, clergyman","JLPT_1 JLPT","pz`YHSooKr","mục sư, bộ trưởng, giáo sĩ"
"捕鯨","ほげい","whaling","JLPT_1 JLPT","x$O*osSX;x","săn bắt cá voi"
"惚ける","ぼける","to grow senile, to fade","JLPT_1 JLPT","q*FJd;okG=","già đi, già đi"
"保険","ほけん","insurance, guarantee","JLPT_1 JLPT","Bet5?24idk","bảo hiểm, bảo lãnh"
"母校","ぼこう","alma mater","JLPT_1 JLPT","qX^1y@?`G[","trường cũ"
"母国","ぼこく","one's home country (same as 自分の国 (じぶんのくに))","JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese","bSW6]:G@H?","quê hương của một người (giống như 自分の国 (じぶんのくに))"
"誇る","ほこる","to boast of, to be proud of","JLPT_1 JLPT","M-#?~#CKEe","tự hào về, tự hào về"
"綻びる","ほころびる","to come apart at the seams, to smile broadly","JLPT_1 JLPT","IzpFoG;o+q","để tách ra ở các đường nối, để mỉm cười rộng rãi"
"干し～","ほし～","dried ~","JLPT_1 JLPT","is?TC|:$uN","khô ~"
"ポジション","ポジション","position","JLPT_1 JLPT","PnsJ9Y`/xy","chức vụ"
"干し物","ほしもの","dried washing (clothes","JLPT_1 JLPT","fiEpVY&=zT","giặt khô (quần áo"
"保守","ほしゅ","conservative, maintaining","JLPT_1 JLPT","HeA:gQu%kE","bảo thủ, duy trì"
"補充","ほじゅう","supplementation, replenishment, replenishing","JLPT_1 JLPT","ovQ+M7ILU)","bổ sung, bổ sung, bổ sung"
"補助","ほじょ","assistance, support, auxiliary","JLPT_1 JLPT","m?5D3_JP+}","sự giúp đỡ, sự hỗ trợ, sự phụ trợ"
"舗装","ほそう","pavement, road surface","JLPT_1 JLPT","glr.;x9$x0","vỉa hè, mặt đường"
"補足","ほそく","supplement, complement","JLPT_1 JLPT","inE4~;vRlL","bổ sung, bổ sung"
"墓地","ぼち","cemetery, graveyard","JLPT_1 JLPT","nNMpx>zT&}","nghĩa trang, nghĩa địa"
"発作","ほっさ","fit, attack","JLPT_1 JLPT","J-l0g]=x_p","phù hợp, tấn công"
"没収","ぼっしゅう","forfeited","JLPT_1 JLPT","FTZs|u+c%T","bị mất"
"発足","ほっそく","starting, inauguration","JLPT_1 JLPT","zOAVt?|e(1","khai mạc, khánh thành"
"ポット","ポット","pot","JLPT_1 JLPT","eLxlfyvQa!","cái nồi"
"ほっぺた","ほっぺた","cheek","JLPT_1 JLPT","Jt@~gSztWD","má"
"ぼつぼつ","ぼつぼつ","gradually, here and there, spots","JLPT_1 JLPT","jz~OVH6f~Q","dần dần, đây đó, những đốm"
"没落","ぼつらく","ruin, fall, collapse","JLPT_1 JLPT","qo9QqJE?e^","đổ nát, sụp đổ, sụp đổ"
"解ける","ほどける","to come untied, to come apart","JLPT_1 JLPT","DA{v}3+Lp$","được cởi trói, tách ra"
"施す","ほどこす","to give, to conduct, to perform","JLPT_1 JLPT","gYMa.e[yq>","đưa ra, tiến hành, thực hiện"
"ほとり","ほとり","vicinity of lake; river","JLPT_1 JLPT","h5B>a}=Y4~","vùng lân cận hồ; dòng sông"
"ぼやく","ぼやく","to grumble, to complain","JLPT_1 JLPT","DOH?PxBsC~","càu nhàu, phàn nàn"
"ぼやける","ぼやける","to become dim, to become blurred","JLPT_1 JLPT","rB,1PHpB=G","trở nên mờ đi, trở nên mờ nhạt"
"保養","ほよう","health preservation, recuperation, recreation","JLPT_1 JLPT","Q#{ir6[3o?","bảo vệ sức khỏe, phục hồi sức khỏe, giải trí"
"捕虜","ほりょ","prisoner of war","JLPT_1 JLPT","qxd6jwjQC6","tù nhân chiến tranh"
"ボルト","ボルト","volt; bolt","JLPT_1 JLPT","FZLDQ~YD+C","vôn; chốt"
"滅びる","ほろびる","to be ruined, to perish, to be destroyed","JLPT_1 JLPT","O_YU5EzmO,","bị hủy hoại, bị diệt vong, bị phá hủy"
